Approved_symbol,HGNC_ID,Approved_symbol,Chromosome,Locus_group,Locus_type,HGNC_family_name,Date_symbol_changed,Ensembl_gene_ID,NCBI_gene_ID,UniProt_accession
SSPN,HGNC:11322,SSPN,12,protein-coding gene,gene with protein product,,,ENSG00000123096,8082,Q14714
SSPOP,HGNC:21998,SSPOP,7,pseudogene,pseudogene,,2020-01-17,ENSG00000197558,23145,A2VEC9
SSR1,HGNC:11323,SSR1,6,protein-coding gene,gene with protein product,,,ENSG00000124783,6745,P43307
SSR1P1,HGNC:39273,SSR1P1,6,pseudogene,pseudogene,,,ENSG00000220598,100420476,
SSR1P2,HGNC:39274,SSR1P2,13,pseudogene,pseudogene,,,ENSG00000226665,100131189,
SSR2,HGNC:11324,SSR2,1,protein-coding gene,gene with protein product,,,ENSG00000163479,6746,P43308
SSR3,HGNC:11325,SSR3,3,protein-coding gene,gene with protein product,,,ENSG00000114850,6747,Q9UNL2
SSR4,HGNC:11326,SSR4,X,protein-coding gene,gene with protein product,,,ENSG00000180879,6748,P51571
SSR4P1,HGNC:23131,SSR4P1,21,pseudogene,pseudogene,,2011-08-31,ENSG00000235374,728039,
SSRP1,HGNC:11327,SSRP1,11,protein-coding gene,gene with protein product,,,ENSG00000149136,6749,Q08945
SST,HGNC:11329,SST,3,protein-coding gene,gene with protein product,,,ENSG00000157005,6750,P61278
SSTR1,HGNC:11330,SSTR1,14,protein-coding gene,gene with protein product,,,ENSG00000139874,6751,P30872
SSTR2,HGNC:11331,SSTR2,17,protein-coding gene,gene with protein product,,,ENSG00000180616,6752,P30874
SSTR3,HGNC:11332,SSTR3,22,protein-coding gene,gene with protein product,,,ENSG00000278195,6753,P32745
SSTR4,HGNC:11333,SSTR4,20,protein-coding gene,gene with protein product,,,ENSG00000132671,6754,P31391
SSTR5,HGNC:11334,SSTR5,16,protein-coding gene,gene with protein product,,,ENSG00000162009,6755,P35346
SSTR5-AS1,HGNC:26502,SSTR5-AS1,16,non-coding RNA,"RNA, long non-coding",,,ENSG00000261713,146336,
SSU72,HGNC:25016,SSU72,1,protein-coding gene,gene with protein product,,,ENSG00000160075,29101,Q9NP77
SSU72P1,HGNC:43620,SSU72P1,X,pseudogene,pseudogene,,,ENSG00000226547,286528,
SSU72P2,HGNC:43621,SSU72P2,11,other,unknown,,,ENSG00000284306,390031,
SSU72P3,HGNC:43622,SSU72P3,11,other,unknown,,,ENSG00000284546,143506,
SSU72P4,HGNC:43623,SSU72P4,11,other,unknown,,,ENSG00000283873,441584,
SSU72P5,HGNC:43624,SSU72P5,11,other,unknown,,,ENSG00000284018,196120,
SSU72P6,HGNC:43625,SSU72P6,11,pseudogene,pseudogene,,,ENSG00000236175,643263,
SSU72P7,HGNC:43626,SSU72P7,11,other,unknown,,,ENSG00000284438,390033,
SSU72P8,HGNC:43627,SSU72P8,7,other,unknown,,,ENSG00000230268,136157,
SSUH2,HGNC:24809,SSUH2,3,protein-coding gene,gene with protein product,,2012-11-05,ENSG00000125046,51066,Q9Y2M2
SSX1,HGNC:11335,SSX1,X,protein-coding gene,gene with protein product,,,ENSG00000126752,6756,Q16384
SSX2,HGNC:11336,SSX2,X,protein-coding gene,gene with protein product,,,ENSG00000241476,6757,Q16385
SSX2B,HGNC:22263,SSX2B,X,protein-coding gene,gene with protein product,,,ENSG00000268447,727837,Q16385
SSX2IP,HGNC:16509,SSX2IP,1,protein-coding gene,gene with protein product,,,ENSG00000117155,117178,Q9Y2D8
SSX3,HGNC:11337,SSX3,X,protein-coding gene,gene with protein product,,,ENSG00000165584,10214,Q99909
SSX4,HGNC:11338,SSX4,X,protein-coding gene,gene with protein product,,,ENSG00000268009,6759,O60224
SSX4B,HGNC:16880,SSX4B,X,protein-coding gene,gene with protein product,,,ENSG00000269791,548313,O60224
SSX5,HGNC:11339,SSX5,X,protein-coding gene,gene with protein product,,,ENSG00000165583,6758,O60225
SSX6P,HGNC:19652,SSX6P,X,pseudogene,pseudogene,,2018-05-23,ENSG00000171483,280657,Q7RTT6
SSX7,HGNC:19653,SSX7,X,protein-coding gene,gene with protein product,,,ENSG00000187754,280658,Q7RTT5
SSX8P,HGNC:19654,SSX8P,X,pseudogene,pseudogene,,2018-05-23,ENSG00000157965,280659,Q7RTT4
SSX9P,HGNC:19655,SSX9P,X,pseudogene,pseudogene,,2018-05-23,ENSG00000204648,280660,Q7RTT3
SSXP1,HGNC:30637,SSXP1,X,pseudogene,pseudogene,,,ENSG00000197185,100996564,
SSXP3,HGNC:30640,SSXP3,X,pseudogene,pseudogene,,,ENSG00000225198,326341,
SSXP4,HGNC:30641,SSXP4,X,pseudogene,pseudogene,,,ENSG00000185319,326337,
SSXP5,HGNC:30642,SSXP5,X,pseudogene,pseudogene,,,ENSG00000225508,326339,
SSXP6,HGNC:30643,SSXP6,X,pseudogene,pseudogene,,,,326587,
SSXP7,HGNC:30644,SSXP7,X,pseudogene,pseudogene,,,,326590,
SSXP8,HGNC:30199,SSXP8,X,pseudogene,pseudogene,,,,326585,
SSXP9,HGNC:30645,SSXP9,X,pseudogene,pseudogene,,,ENSG00000227302,326586,
SSXP10,HGNC:30638,SSXP10,6,pseudogene,pseudogene,,,ENSG00000217330,100287603,
ST3GAL1,HGNC:10862,ST3GAL1,8,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000008513,6482,Q11201
ST3GAL1-DT,HGNC:55372,ST3GAL1-DT,8,non-coding RNA,"RNA, long non-coding",,,ENSG00000261220,119545630,
ST3GAL1P1,HGNC:45174,ST3GAL1P1,4,pseudogene,pseudogene,,,ENSG00000250656,100421804,
ST3GAL2,HGNC:10863,ST3GAL2,16,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000157350,6483,Q16842
ST3GAL3,HGNC:10866,ST3GAL3,1,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000126091,6487,Q11203
ST3GAL3-AS1,HGNC:40529,ST3GAL3-AS1,1,non-coding RNA,"RNA, long non-coding",,,ENSG00000229444,101929592,
ST3GAL4,HGNC:10864,ST3GAL4,11,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000110080,6484,Q11206
ST3GAL5,HGNC:10872,ST3GAL5,2,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000115525,8869,Q9UNP4
ST3GAL5-AS1,HGNC:51129,ST3GAL5-AS1,2,non-coding RNA,"RNA, long non-coding",,,ENSG00000232504,101928113,
ST3GAL5P1,HGNC:45175,ST3GAL5P1,5,pseudogene,pseudogene,,,,100421795,
ST3GAL6,HGNC:18080,ST3GAL6,3,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000064225,10402,Q9Y274
ST3GAL6-AS1,HGNC:40828,ST3GAL6-AS1,3,non-coding RNA,"RNA, long non-coding",,,ENSG00000239445,100874207,
ST6GAL1,HGNC:10860,ST6GAL1,3,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000073849,6480,P15907
ST6GAL2,HGNC:10861,ST6GAL2,2,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000144057,84620,Q96JF0
ST6GAL2-IT1,HGNC:41380,ST6GAL2-IT1,2,non-coding RNA,"RNA, long non-coding",,,ENSG00000238250,100874354,
ST6GALNAC1,HGNC:23614,ST6GALNAC1,17,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000070526,55808,Q9NSC7
ST6GALNAC2,HGNC:10867,ST6GALNAC2,17,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000070731,10610,Q9UJ37
ST6GALNAC2P1,HGNC:45160,ST6GALNAC2P1,2,pseudogene,pseudogene,,,ENSG00000228902,100422716,
ST6GALNAC3,HGNC:19343,ST6GALNAC3,1,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000184005,256435,Q8NDV1
ST6GALNAC4,HGNC:17846,ST6GALNAC4,9,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000136840,27090,Q9H4F1
ST6GALNAC4P1,HGNC:39660,ST6GALNAC4P1,13,pseudogene,pseudogene,,,ENSG00000233469,100874524,
ST6GALNAC5,HGNC:19342,ST6GALNAC5,1,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000117069,81849,Q9BVH7
ST6GALNAC6,HGNC:23364,ST6GALNAC6,9,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000160408,30815,Q969X2
ST7,HGNC:11351,ST7,7,protein-coding gene,gene with protein product,,,ENSG00000004866,7982,Q9NRC1
ST7-AS1,HGNC:16000,ST7-AS1,7,non-coding RNA,"RNA, long non-coding",,2011-04-28,ENSG00000227199,93653,
ST7-AS2,HGNC:16044,ST7-AS2,7,non-coding RNA,"RNA, long non-coding",,2011-04-28,ENSG00000226367,93654,
ST7-OT3,HGNC:16045,ST7-OT3,7,non-coding RNA,"RNA, long non-coding",,2011-08-19,,93655,
ST7-OT4,HGNC:18835,ST7-OT4,7,non-coding RNA,"RNA, long non-coding",,2011-08-19,ENSG00000214188,338069,
ST7L,HGNC:18441,ST7L,1,protein-coding gene,gene with protein product,,,ENSG00000007341,54879,Q8TDW4
ST8SIA1,HGNC:10869,ST8SIA1,12,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000111728,6489,Q92185
ST8SIA2,HGNC:10870,ST8SIA2,15,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000140557,8128,Q92186
ST8SIA3,HGNC:14269,ST8SIA3,18,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000177511,51046,O43173
ST8SIA4,HGNC:10871,ST8SIA4,5,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000113532,7903,Q92187
ST8SIA5,HGNC:17827,ST8SIA5,18,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000101638,29906,O15466
ST8SIA5-DT,HGNC:55267,ST8SIA5-DT,18,non-coding RNA,"RNA, long non-coding",,,ENSG00000270112,105372097,
ST8SIA6,HGNC:23317,ST8SIA6,10,protein-coding gene,gene with protein product,,2005-02-07,ENSG00000148488,338596,P61647
ST8SIA6-AS1,HGNC:44880,ST8SIA6-AS1,10,non-coding RNA,"RNA, long non-coding",,,ENSG00000204832,100128098,
ST13,HGNC:11343,ST13,22,protein-coding gene,gene with protein product,,,ENSG00000100380,6767,P50502
ST13P1,HGNC:38715,ST13P1,2,pseudogene,pseudogene,,,,729992,
ST13P2,HGNC:38716,ST13P2,2,pseudogene,pseudogene,,,ENSG00000235616,344328,
ST13P3,HGNC:18552,ST13P3,12,pseudogene,pseudogene,,2010-08-11,ENSG00000257773,144638,
ST13P4,HGNC:18487,ST13P4,13,pseudogene,pseudogene,,2010-08-11,ENSG00000232150,145165,Q8IZP2
ST13P5,HGNC:18556,ST13P5,11,pseudogene,pseudogene,,2010-08-11,ENSG00000212789,144106,Q8NFI4
ST13P6,HGNC:18557,ST13P6,8,pseudogene,pseudogene,,2010-08-11,ENSG00000225259,157530,
ST13P7,HGNC:18558,ST13P7,7,pseudogene,pseudogene,,2010-08-11,ENSG00000237821,155019,
ST13P8,HGNC:38743,ST13P8,12,pseudogene,pseudogene,,,,338805,
ST13P9,HGNC:38744,ST13P9,12,pseudogene,pseudogene,,,,390301,
ST13P10,HGNC:38745,ST13P10,11,pseudogene,pseudogene,,,ENSG00000213234,399950,
ST13P11,HGNC:38746,ST13P11,11,pseudogene,pseudogene,,,ENSG00000213368,728162,
ST13P12,HGNC:38787,ST13P12,5,pseudogene,pseudogene,,,ENSG00000248400,100127911,
ST13P13,HGNC:38788,ST13P13,10,pseudogene,pseudogene,,,ENSG00000229256,401648,
ST13P14,HGNC:38849,ST13P14,3,pseudogene,pseudogene,,,ENSG00000240959,100422602,
ST13P15,HGNC:38850,ST13P15,3,pseudogene,pseudogene,,,ENSG00000243759,100422603,
ST13P16,HGNC:38851,ST13P16,6,pseudogene,pseudogene,,,ENSG00000218698,100422605,
ST13P17,HGNC:38859,ST13P17,7,pseudogene,pseudogene,,,,442730,
ST13P18,HGNC:38861,ST13P18,X,pseudogene,pseudogene,,,ENSG00000234322,643310,
ST13P19,HGNC:38862,ST13P19,1,pseudogene,pseudogene,,,ENSG00000228110,100131961,
ST13P20,HGNC:38863,ST13P20,1,pseudogene,pseudogene,,,ENSG00000215875,729828,
ST13P21,HGNC:38864,ST13P21,1,pseudogene,pseudogene,,,ENSG00000227832,642818,
ST13P22,HGNC:38865,ST13P22,12,pseudogene,pseudogene,,,,100874521,
ST14,HGNC:11344,ST14,11,protein-coding gene,gene with protein product,,,ENSG00000149418,6768,Q9Y5Y6
ST18,HGNC:18695,ST18,8,protein-coding gene,gene with protein product,,2002-12-13,ENSG00000147488,9705,O60284
ST20,HGNC:33520,ST20,15,protein-coding gene,gene with protein product,,,ENSG00000180953,400410,Q9HBF5
ST20-AS1,HGNC:27521,ST20-AS1,15,non-coding RNA,"RNA, long non-coding",,2014-10-01,ENSG00000259642,283687,Q8NBB2
ST20-MTHFS,HGNC:44655,ST20-MTHFS,15,other,readthrough,,,ENSG00000259332,100528021,
STAB1,HGNC:18628,STAB1,3,protein-coding gene,gene with protein product,,,ENSG00000010327,23166,Q9NY15
STAB2,HGNC:18629,STAB2,12,protein-coding gene,gene with protein product,,,ENSG00000136011,55576,Q8WWQ8
STAC,HGNC:11353,STAC,3,protein-coding gene,gene with protein product,,,ENSG00000144681,6769,Q99469
STAC2,HGNC:23990,STAC2,17,protein-coding gene,gene with protein product,,,ENSG00000141750,342667,Q6ZMT1
STAC3,HGNC:28423,STAC3,12,protein-coding gene,gene with protein product,,,ENSG00000185482,246329,Q96MF2
STAG1,HGNC:11354,STAG1,3,protein-coding gene,gene with protein product,,,ENSG00000118007,10274,Q8WVM7
STAG1-DT,HGNC:55350,STAG1-DT,3,non-coding RNA,"RNA, long non-coding",,,ENSG00000261758,119139906,
STAG2,HGNC:11355,STAG2,X,protein-coding gene,gene with protein product,,,ENSG00000101972,10735,Q8N3U4
STAG2-AS1,HGNC:55727,STAG2-AS1,X,non-coding RNA,"RNA, long non-coding",,,ENSG00000232412,101928402,
STAG3,HGNC:11356,STAG3,7,protein-coding gene,gene with protein product,,,ENSG00000066923,10734,Q9UJ98
STAG3L1,HGNC:33852,STAG3L1,7,pseudogene,pseudogene,,,ENSG00000205583,54441,P0CL83
STAG3L2,HGNC:33886,STAG3L2,7,pseudogene,pseudogene,,,ENSG00000277072,442582,P0CL84
STAG3L3,HGNC:33845,STAG3L3,7,pseudogene,pseudogene,,,ENSG00000174353,442578,P0CL85
STAG3L4,HGNC:33887,STAG3L4,7,pseudogene,pseudogene,,,ENSG00000106610,64940,Q8TBR4
STAG3L5P,HGNC:48896,STAG3L5P,7,pseudogene,pseudogene,,,ENSG00000242294,101735302,
STAG3L5P-PVRIG2P-PILRB,HGNC:48898,STAG3L5P-PVRIG2P-PILRB,7,other,readthrough,,,ENSG00000272752,101752399,
STAM,HGNC:11357,STAM,10,protein-coding gene,gene with protein product,,,ENSG00000136738,8027,Q92783
STAM-DT,HGNC:49568,STAM-DT,10,non-coding RNA,"RNA, long non-coding",,2020-12-17,ENSG00000260589,102723166,
STAM2,HGNC:11358,STAM2,2,protein-coding gene,gene with protein product,,,ENSG00000115145,10254,O75886
STAMBP,HGNC:16950,STAMBP,2,protein-coding gene,gene with protein product,,,ENSG00000124356,10617,O95630
STAMBPL1,HGNC:24105,STAMBPL1,10,protein-coding gene,gene with protein product,,,ENSG00000138134,57559,Q96FJ0
STAP1,HGNC:24133,STAP1,4,protein-coding gene,gene with protein product,,,ENSG00000035720,26228,Q9ULZ2
STAP2,HGNC:30430,STAP2,19,protein-coding gene,gene with protein product,,,ENSG00000178078,55620,Q9UGK3
STAR,HGNC:11359,STAR,8,protein-coding gene,gene with protein product,,,ENSG00000147465,6770,P49675
STARD3,HGNC:17579,STARD3,17,protein-coding gene,gene with protein product,,,ENSG00000131748,10948,Q14849
STARD3NL,HGNC:19169,STARD3NL,7,protein-coding gene,gene with protein product,,,ENSG00000010270,83930,O95772
STARD4,HGNC:18058,STARD4,5,protein-coding gene,gene with protein product,,,ENSG00000164211,134429,Q96DR4
STARD4-AS1,HGNC:44117,STARD4-AS1,5,non-coding RNA,"RNA, long non-coding",,,ENSG00000246859,100505678,
STARD5,HGNC:18065,STARD5,15,protein-coding gene,gene with protein product,,,ENSG00000172345,80765,Q9NSY2
STARD6,HGNC:18066,STARD6,18,protein-coding gene,gene with protein product,,,ENSG00000174448,147323,P59095
STARD7,HGNC:18063,STARD7,2,protein-coding gene,gene with protein product,,,ENSG00000084090,56910,Q9NQZ5
STARD7-AS1,HGNC:40827,STARD7-AS1,2,non-coding RNA,"RNA, long non-coding",,,ENSG00000204685,285033,
STARD8,HGNC:19161,STARD8,X,protein-coding gene,gene with protein product,,,ENSG00000130052,9754,Q92502
STARD9,HGNC:19162,STARD9,15,protein-coding gene,gene with protein product,,,ENSG00000159433,57519,Q9P2P6
STARD10,HGNC:10666,STARD10,11,protein-coding gene,gene with protein product,,2003-02-07,ENSG00000214530,10809,Q9Y365
STARD13,HGNC:19164,STARD13,13,protein-coding gene,gene with protein product,,,ENSG00000133121,90627,Q9Y3M8
STARD13-AS,HGNC:40873,STARD13-AS,13,non-coding RNA,"RNA, long non-coding",,2013-02-18,ENSG00000236581,100874241,
STARD13-IT1,HGNC:41453,STARD13-IT1,13,non-coding RNA,"RNA, long non-coding",,,ENSG00000230300,100874373,
STARP1,HGNC:11360,STARP1,13,pseudogene,pseudogene,,,ENSG00000214266,6771,
STAT1,HGNC:11362,STAT1,2,protein-coding gene,gene with protein product,,,ENSG00000115415,6772,P42224
STAT2,HGNC:11363,STAT2,12,protein-coding gene,gene with protein product,,,ENSG00000170581,6773,P52630
STAT3,HGNC:11364,STAT3,17,protein-coding gene,gene with protein product,,,ENSG00000168610,6774,P40763
STAT4,HGNC:11365,STAT4,2,protein-coding gene,gene with protein product,,,ENSG00000138378,6775,Q14765
STAT4-AS1,HGNC:55764,STAT4-AS1,2,non-coding RNA,"RNA, long non-coding",,2021-07-22,ENSG00000231858,105373805,
STAT5A,HGNC:11366,STAT5A,17,protein-coding gene,gene with protein product,,,ENSG00000126561,6776,P42229
STAT5B,HGNC:11367,STAT5B,17,protein-coding gene,gene with protein product,,,ENSG00000173757,6777,P51692
STAT6,HGNC:11368,STAT6,12,protein-coding gene,gene with protein product,,,ENSG00000166888,6778,P42226
STATH,HGNC:11369,STATH,4,protein-coding gene,gene with protein product,,,ENSG00000126549,6779,P02808
STAU1,HGNC:11370,STAU1,20,protein-coding gene,gene with protein product,,2005-11-04,ENSG00000124214,6780,O95793
STAU2,HGNC:11371,STAU2,8,protein-coding gene,gene with protein product,,,ENSG00000040341,27067,Q9NUL3
STAU2-AS1,HGNC:44101,STAU2-AS1,8,non-coding RNA,"RNA, long non-coding",,,ENSG00000253302,100128126,
STAU2P1,HGNC:55011,STAU2P1,X,pseudogene,pseudogene,,,ENSG00000227581,100130134,
STBD1,HGNC:24854,STBD1,4,protein-coding gene,gene with protein product,,,ENSG00000118804,8987,O95210
STC1,HGNC:11373,STC1,8,protein-coding gene,gene with protein product,,,ENSG00000159167,6781,P52823
STC2,HGNC:11374,STC2,5,protein-coding gene,gene with protein product,,,ENSG00000113739,8614,O76061
STEAP1,HGNC:11378,STEAP1,7,protein-coding gene,gene with protein product,,2005-02-24,ENSG00000164647,26872,Q9UHE8
STEAP1B,HGNC:41907,STEAP1B,7,protein-coding gene,gene with protein product,,,ENSG00000105889,256227,Q6NZ63
STEAP2,HGNC:17885,STEAP2,7,protein-coding gene,gene with protein product,,,ENSG00000157214,261729,Q8NFT2
STEAP2-AS1,HGNC:40820,STEAP2-AS1,7,non-coding RNA,"RNA, long non-coding",,,ENSG00000227646,100874100,
STEAP3,HGNC:24592,STEAP3,2,protein-coding gene,gene with protein product,,,ENSG00000115107,55240,Q658P3
STEAP3-AS1,HGNC:41053,STEAP3-AS1,2,non-coding RNA,"RNA, long non-coding",,,ENSG00000229867,100874111,
STEAP4,HGNC:21923,STEAP4,7,protein-coding gene,gene with protein product,,2005-06-15,ENSG00000127954,79689,Q687X5
STEEP1,HGNC:26239,STEEP1,X,protein-coding gene,gene with protein product,,2020-12-03,ENSG00000018610,63932,Q9H5V9
STH,HGNC:18839,STH,17,protein-coding gene,gene with protein product,,,ENSG00000256762,246744,Q8IWL8
STIL,HGNC:10879,STIL,1,protein-coding gene,gene with protein product,,2005-11-29,ENSG00000123473,6491,Q15468
STIM1,HGNC:11386,STIM1,11,protein-coding gene,gene with protein product,,,ENSG00000167323,6786,Q13586
STIM1-AS1,HGNC:40568,STIM1-AS1,11,non-coding RNA,"RNA, long non-coding",,,ENSG00000228661,105376527,
STIM2,HGNC:19205,STIM2,4,protein-coding gene,gene with protein product,,,ENSG00000109689,57620,Q9P246
STIM2-AS1,HGNC:40879,STIM2-AS1,4,non-coding RNA,"RNA, long non-coding",,,ENSG00000240005,105374546,
STIMATE,HGNC:30526,STIMATE,3,protein-coding gene,gene with protein product,,2017-10-16,ENSG00000213533,375346,Q86TL2
STIMATE-MUSTN1,HGNC:38834,STIMATE-MUSTN1,3,other,readthrough,,2019-01-04,ENSG00000248592,100526772,
STING1,HGNC:27962,STING1,5,protein-coding gene,gene with protein product,,2019-08-29,ENSG00000184584,340061,Q86WV6
STIP1,HGNC:11387,STIP1,11,protein-coding gene,gene with protein product,,,ENSG00000168439,10963,P31948
STIP1P1,HGNC:49552,STIP1P1,2,pseudogene,pseudogene,,,,100420434,
STIP1P2,HGNC:49553,STIP1P2,2,pseudogene,pseudogene,,,,100420436,
STIP1P3,HGNC:49554,STIP1P3,X,pseudogene,pseudogene,,,ENSG00000225536,441505,
STK3,HGNC:11406,STK3,8,protein-coding gene,gene with protein product,,,ENSG00000104375,6788,Q13188
STK4,HGNC:11408,STK4,20,protein-coding gene,gene with protein product,,,ENSG00000101109,6789,Q13043
STK4-DT,HGNC:43811,STK4-DT,20,non-coding RNA,"RNA, long non-coding",,2021-07-30,ENSG00000227477,100505826,
STK10,HGNC:11388,STK10,5,protein-coding gene,gene with protein product,,,ENSG00000072786,6793,O94804
STK11,HGNC:11389,STK11,19,protein-coding gene,gene with protein product,,,ENSG00000118046,6794,Q15831
STK11IP,HGNC:19184,STK11IP,2,protein-coding gene,gene with protein product,,,ENSG00000144589,114790,Q8N1F8
STK16,HGNC:11394,STK16,2,protein-coding gene,gene with protein product,,,ENSG00000115661,8576,O75716
STK16P1,HGNC:19283,STK16P1,14,pseudogene,pseudogene,,2010-04-16,ENSG00000259155,326107,
STK17A,HGNC:11395,STK17A,7,protein-coding gene,gene with protein product,,,ENSG00000164543,9263,Q9UEE5
STK17B,HGNC:11396,STK17B,2,protein-coding gene,gene with protein product,,,ENSG00000081320,9262,O94768
STK19,HGNC:11398,STK19,6,protein-coding gene,gene with protein product,,,ENSG00000204344,8859,P49842
STK19B,HGNC:21668,STK19B,6,pseudogene,pseudogene,,2014-04-23,ENSG00000250535,373159,
STK24,HGNC:11403,STK24,13,protein-coding gene,gene with protein product,,,ENSG00000102572,8428,Q9Y6E0
STK24-AS1,HGNC:39935,STK24-AS1,13,non-coding RNA,"RNA, long non-coding",,,ENSG00000224418,100874069,
STK24P1,HGNC:50360,STK24P1,X,pseudogene,pseudogene,,,ENSG00000230079,100421784,
STK25,HGNC:11404,STK25,2,protein-coding gene,gene with protein product,,,ENSG00000115694,10494,O00506
STK25P1,HGNC:50361,STK25P1,18,pseudogene,pseudogene,,,ENSG00000267570,100533662,
STK26,HGNC:18174,STK26,X,protein-coding gene,gene with protein product,,,ENSG00000134602,51765,Q9P289
STK31,HGNC:11407,STK31,7,protein-coding gene,gene with protein product,,,ENSG00000196335,56164,Q9BXU1
STK32A,HGNC:28317,STK32A,5,protein-coding gene,gene with protein product,,,ENSG00000169302,202374,Q8WU08
STK32A-AS1,HGNC:53468,STK32A-AS1,5,non-coding RNA,"RNA, long non-coding",,,ENSG00000250343,105378217,
STK32B,HGNC:14217,STK32B,4,protein-coding gene,gene with protein product,,,ENSG00000152953,55351,Q9NY57
STK32C,HGNC:21332,STK32C,10,protein-coding gene,gene with protein product,,,ENSG00000165752,282974,Q86UX6
STK33,HGNC:14568,STK33,11,protein-coding gene,gene with protein product,,,ENSG00000130413,65975,Q9BYT3
STK33P1,HGNC:26871,STK33P1,9,pseudogene,pseudogene,,2010-03-10,ENSG00000227412,553118,
STK35,HGNC:16254,STK35,20,protein-coding gene,gene with protein product,,,ENSG00000125834,140901,Q8TDR2
STK36,HGNC:17209,STK36,2,protein-coding gene,gene with protein product,,,ENSG00000163482,27148,Q9NRP7
STK38,HGNC:17847,STK38,6,protein-coding gene,gene with protein product,,,ENSG00000112079,11329,Q15208
STK38L,HGNC:17848,STK38L,12,protein-coding gene,gene with protein product,,,ENSG00000211455,23012,Q9Y2H1
STK39,HGNC:17717,STK39,2,protein-coding gene,gene with protein product,,,ENSG00000198648,27347,Q9UEW8
STK40,HGNC:21373,STK40,1,protein-coding gene,gene with protein product,,,ENSG00000196182,83931,Q8N2I9
STKLD1,HGNC:28669,STKLD1,9,protein-coding gene,gene with protein product,,2014-05-29,ENSG00000198870,169436,Q8NE28
STMN1,HGNC:6510,STMN1,1,protein-coding gene,gene with protein product,,2001-07-13,ENSG00000117632,3925,P16949
STMN1P1,HGNC:44062,STMN1P1,12,pseudogene,pseudogene,,,ENSG00000276058,100506685,
STMN1P2,HGNC:44063,STMN1P2,4,pseudogene,pseudogene,,,ENSG00000251440,100289663,
STMN2,HGNC:10577,STMN2,8,protein-coding gene,gene with protein product,,2001-07-13,ENSG00000104435,11075,Q93045
STMN3,HGNC:15926,STMN3,20,protein-coding gene,gene with protein product,,,ENSG00000197457,50861,Q9NZ72
STMN4,HGNC:16078,STMN4,8,protein-coding gene,gene with protein product,,,ENSG00000015592,81551,Q9H169
STMND1,HGNC:44668,STMND1,6,protein-coding gene,gene with protein product,,,ENSG00000230873,401236,H3BQB6
STMP1,HGNC:41909,STMP1,7,protein-coding gene,gene with protein product,,2017-07-28,ENSG00000243317,647087,E0CX11
STN1,HGNC:26200,STN1,10,protein-coding gene,gene with protein product,,2016-10-04,ENSG00000107960,79991,Q9H668
STOM,HGNC:3383,STOM,9,protein-coding gene,gene with protein product,,2002-11-15,ENSG00000148175,2040,P27105
STOML1,HGNC:14560,STOML1,15,protein-coding gene,gene with protein product,,,ENSG00000067221,9399,Q9UBI4
STOML2,HGNC:14559,STOML2,9,protein-coding gene,gene with protein product,,,ENSG00000165283,30968,Q9UJZ1
STOML3,HGNC:19420,STOML3,13,protein-coding gene,gene with protein product,,,ENSG00000133115,161003,Q8TAV4
STON1,HGNC:17003,STON1,2,protein-coding gene,gene with protein product,,,ENSG00000243244,11037,Q9Y6Q2
STON1-GTF2A1L,HGNC:30651,STON1-GTF2A1L,2,other,readthrough,,,ENSG00000068781,286749,
STON2,HGNC:30652,STON2,14,protein-coding gene,gene with protein product,,,ENSG00000140022,85439,Q8WXE9
STOX1,HGNC:23508,STOX1,10,protein-coding gene,gene with protein product,,2005-04-04,ENSG00000165730,219736,Q6ZVD7
STOX2,HGNC:25450,STOX2,4,protein-coding gene,gene with protein product,,,ENSG00000173320,56977,Q9P2F5
STPG1,HGNC:28070,STPG1,1,protein-coding gene,gene with protein product,,2012-07-30,ENSG00000001460,90529,Q5TH74
STPG2,HGNC:28712,STPG2,4,protein-coding gene,gene with protein product,,2012-07-30,ENSG00000163116,285555,Q8N412
STPG2-AS1,HGNC:41209,STPG2-AS1,4,non-coding RNA,"RNA, long non-coding",,,ENSG00000251620,101410545,
STPG3,HGNC:37285,STPG3,9,protein-coding gene,gene with protein product,,2016-04-22,ENSG00000197768,441476,Q8N7X2
STPG3-AS1,HGNC:51176,STPG3-AS1,9,non-coding RNA,"RNA, long non-coding",,2016-08-12,ENSG00000275549,100129722,
